ligand,class,prep,vina_mean,vina_min,rtm_mean,rtm_min,rtm_3POZ,rtm_3RCD,heavy_atoms,MW,cLogP,TPSA,rtm_3POZ_z,rtm_3RCD_z,rtm_min_z
EH120_070,A_only,rdkit_meeko,8.994,8.852,36.644621316242265,33.60390255413852,39.685340078346,33.60390255413852,23.0,308.337,2.8821800000000017,93.35000000000001,-0.33995791759338284,-1.0810550613269936,-1.0810550613269936
EH120_071,A_only,rdkit_meeko,9.9375,9.8,82.2015439062949,72.8386941893104,72.8386941893104,91.5643936232794,34.0,454.5340000000002,4.653700000000003,107.95,1.656435662626878,1.5016764363969106,1.5016764363969106
EH120_072,A_only,rdkit_meeko,11.000499999999999,10.933,93.42129138755696,86.01770183781822,86.01770183781822,100.8248809372957,35.0,512.9440000000002,8.148600000000002,73.06,2.450035193313681,1.9143256708840997,1.9143256708840997
EH120_073,A_only,rdkit_meeko,9.900500000000001,9.858,73.44174363362166,63.91321144117465,63.91321144117465,82.97027582606864,35.0,468.56100000000043,2.883700000000002,73.83000000000001,1.1189703914176545,1.1187207657224179,1.1187207657224179
EH120_074,A_only,rdkit_meeko,8.4955,8.486,45.1035082599907,28.936912950661945,28.936912950661945,61.270103569319446,23.0,329.76200000000006,4.591700000000002,47.04,-0.9871953235992258,0.151756591338805,-0.9871953235992258
EH120_075,A_only,rdkit_meeko,8.498999999999999,8.296,42.93679357821655,36.452729650024295,36.452729650024295,49.4208575064088,26.0,350.3820000000002,3.088300000000001,97.2,-0.5346158301790724,-0.37624826966993913,-0.5346158301790724
EH120_076,A_only,rdkit_meeko,8.780999999999999,8.776,31.74343907013607,29.02426445129916,29.02426445129916,34.46261368897298,21.0,280.283,2.6434800000000003,93.35,-0.9819352834080866,-1.0427907151409415,-1.0427907151409415
EH120_077,A_only,rdkit_meeko,9.102,8.672,41.943292373661926,35.08091781455726,35.08091781455726,48.80566693276659,27.0,377.444,4.6822000000000035,64.63,-0.6172221430254349,-0.4036612891654643,-0.6172221430254349
EH120_078,A_only,rdkit_meeko,9.750499999999999,9.471,38.756997475824235,38.614182064202296,38.89981288744618,38.614182064202296,39.0,542.0430000000001,5.575480000000004,115.2,-0.38725996238052607,-0.8577959676867056,-0.8577959676867056
EH120_079,A_only,rdkit_meeko,7.8415,7.811,41.98953122757014,31.642063405962027,31.642063405962027,52.336999049178246,24.0,389.25300000000016,3.9745000000000026,68.52,-0.8242994372760696,-0.24630439798418352,-0.8242994372760696
EH120_080,B_only,rdkit_meeko,10.086500000000001,9.988,48.02419932123306,40.67330858881382,40.67330858881382,55.37509005365231,38.0,539.0110000000002,4.443420000000002,104.4,-0.2804654757379923,-0.1109264330037512,-0.2804654757379923
EH120_081,B_only,rdkit_meeko,10.7405,10.624,83.74926853568739,68.17100268437936,68.17100268437936,99.32753438699542,40.0,548.5540000000004,4.638620000000003,111.82000000000001,1.3753615570113868,1.8476035981905552,1.3753615570113868
EH120_082,B_only,rdkit_meeko,9.61,9.54,82.37600965803998,76.04426108941891,76.04426108941891,88.70775822666103,36.0,487.56000000000034,4.395540000000002,109.7,1.849465096660122,1.3743841709197568,1.3743841709197568
EH120_083,B_only,rdkit_meeko,10.729500000000002,10.534,54.66830629519178,43.75412929212799,43.75412929212799,65.58248329825558,40.0,547.5660000000001,5.243620000000004,98.93,-0.09494787612136721,0.34391712605172325,-0.09494787612136721
EH120_084,B_only,rdkit_meeko,10.6105,10.589,55.82185168968159,51.41629731515837,51.41629731515837,60.22740606420481,38.0,508.54600000000033,3.141420000000001,126.56,0.36644444637332474,0.10529377435119136,0.10529377435119136
EH120_085,B_only,rdkit_meeko,11.195,10.883,52.96740390636677,45.701292017801215,45.701292017801215,60.23351579493232,40.0,558.0899999999999,5.344800000000004,114.16,0.02230430753906695,0.10556602521900654,0.02230430753906695
EH120_086,B_only,rdkit_meeko,10.488,10.441,47.66677664364266,46.898018567791375,46.898018567791375,48.43553471949396,40.0,546.5780000000001,5.848620000000006,86.04,0.09436752001775146,-0.42015445732032236,-0.42015445732032236
EH120_087,B_only,rdkit_meeko,10.870000000000001,10.823,71.31118083062273,61.40469109003148,61.40469109003148,81.21767057121397,41.0,565.556,5.382720000000004,98.93,0.9679149685451351,1.040624312236716,0.9679149685451351
EH120_088,B_only,rdkit_meeko,11.567499999999999,10.927,67.0157583412878,56.28858463880643,56.28858463880643,77.74293204376919,41.0,576.0799999999999,5.483900000000005,114.16,0.659838686405969,0.885789243112112,0.659838686405969
EH120_089,B_only,rdkit_meeko,9.176,9.003,45.84417653673829,36.34370626820977,36.34370626820977,55.34464680526681,37.0,525.0280000000002,5.453020000000005,95.17,-0.5411808847681173,-0.1122829904629428,-0.5411808847681173
EH120_090,B_only,rdkit_meeko,9.4955,9.271,83.81715057345002,77.5765680603464,77.5765680603464,90.05773308655364,36.0,507.97800000000024,4.218800000000003,109.7,1.9417359356662638,1.4345393305373813,1.4345393305373813
EH120_091,B_only,rdkit_meeko,10.193999999999999,10.058,91.94038182061942,83.30313878655159,83.30313878655159,100.57762485468726,33.0,462.9370000000003,5.558600000000004,78.39000000000001,2.2865725092512084,1.9033078885848629,1.9033078885848629
EH120_092,B_only,rdkit_meeko,10.768,10.576,60.580040333500094,54.74201526475715,54.74201526475715,66.41806540224303,41.0,572.0440000000001,6.153720000000005,90.96000000000001,0.566709009107462,0.38115083782839576,0.38115083782839576
EH120_093,B_only,rdkit_meeko,10.4455,10.409,41.32710217281584,39.42835761462532,43.22584673100636,39.42835761462532,41.0,565.556,5.382720000000004,98.93,-0.1267594361232783,-0.8215161363746172,-0.8215161363746172
EH120_094,B_only,rdkit_meeko,8.600999999999999,8.571,44.839906938305504,42.72609774227592,46.953716134335096,42.72609774227592,27.0,397.48100000000005,3.695080000000002,109.22999999999999,0.09772145711592885,-0.6745681526380554,-0.6745681526380554
EH120_095,B_only,rdkit_meeko,10.3935,10.316,80.29645235931642,73.30517502075584,73.30517502075584,87.28772969787701,34.0,457.5340000000003,5.033040000000003,89.47,1.6845257114972423,1.311107405293634,1.311107405293634
