ligand,target,vina_mode,rtmscore
EH40_01,3RCD,8,21.448589775079125
EH40_30,3RCD,5,21.41785349004309
EH40_14,3RCD,4,21.3089958399712
EH40_40,3RCD,7,21.20072147266462
EH40_19,3RCD,7,21.18453200177036
EH40_32,3RCD,6,21.02506423848804
EH40_07,3RCD,3,20.99334099537633
EH40_17,3RCD,8,20.821374310078884
EH40_03,3RCD,6,20.684222886420432
EH40_29,3RCD,2,20.618032054144628
EH40_18,3RCD,6,20.52450969092054
EH40_39,3RCD,9,20.460180958816967
EH40_39,3RCD,8,20.373333478346183
EH40_16,3RCD,9,20.35306096968612
EH40_18,3RCD,9,20.32530956424212
EH40_03,3RCD,4,20.160650611052617
EH40_16,3RCD,8,20.134564721491014
EH40_34,3RCD,4,20.094757528561324
EH40_11,3RCD,1,20.01776949727997
EH40_26,3RCD,9,19.985810870740405
EH40_32,3RCD,7,19.97199230718033
EH40_21,3RCD,5,19.901760806828303
EH40_12,3RCD,9,19.71924985905239
EH40_20,3RCD,6,19.694090459255047
EH40_12,3RCD,8,19.672994851657585
EH40_04,3RCD,4,19.653106268781865
EH40_13,3RCD,2,19.58765847947114
EH40_13,3RCD,8,19.54522534353737
EH40_17,3RCD,3,19.48577519837675
EH40_15,3RCD,1,19.458640439439662
EH40_14,3RCD,5,19.262154272962405
EH40_04,3RCD,3,19.136977757666276
EH40_12,3RCD,7,19.126733301322968
EH40_15,3RCD,9,18.902318306613783
EH40_27,3RCD,7,18.606538031411983
EH40_03,3RCD,5,18.37384080528797
EH40_07,3RCD,5,18.30877746446253
