molecule_chembl_id,molecule_name,canonical_smiles,pActivity,n_measurements,scaffold,source_target,source_chembl_id
CHEMBL6163420,,O=C(Cn1nc(C(=O)Nc2ccccn2)c2ccccc21)Nc1cc(Cl)ccc1Cl,4.3,1,O=C(Cn1nc(C(=O)Nc2ccccn2)c2ccccc21)Nc1ccccc1,OCT2,CHEMBL1743122
CHEMBL6171119,,O=C(Cn1nc(C(=O)Nc2cccnc2)c2ccccc21)Nc1ccc(Cl)cc1,4.22,1,O=C(Cn1nc(C(=O)Nc2cccnc2)c2ccccc21)Nc1ccccc1,OCT2,CHEMBL1743122
CHEMBL5977043,,O=C(NCc1c(F)cc(F)cc1F)c1cn2c(c(O)c1=O)C(=O)N1C3CC(C3)C1C2,5.87,1,O=C(NCc1ccccc1)c1cn2c(cc1=O)C(=O)N1C3CC(C3)C1C2,OCT2,CHEMBL1743122
CHEMBL6013817,,O=C(NCc1c(F)cc(F)cc1F)c1cn2c(c(O)c1=O)C(=O)N1C3CC(C3)[C@H]1C2,5.87,1,O=C(NCc1ccccc1)c1cn2c(cc1=O)C(=O)N1C3CC(C3)C1C2,OCT2,CHEMBL1743122
CHEMBL6000266,,O=C(NCc1c(F)cc(F)cc1F)c1cn2c(c(O)c1=O)C(=O)N1C3CCC(C3)O[C@H]1C2,6.86,1,O=C(NCc1ccccc1)c1cn2c(cc1=O)C(=O)N1C3CCC(C3)OC1C2,OCT2,CHEMBL1743122
CHEMBL5758649,,O=C(NCc1c(F)cc(F)cc1F)c1cn2c(c(O)c1=O)C(=O)N1[C@@H](C2)[C@H]2C[C@@H]1C(F)(F)C2,5.43,3,O=C(NCc1ccccc1)c1cn2c(cc1=O)C(=O)N1C3CCC(C3)C1C2,OCT2,CHEMBL1743122
CHEMBL5962549,,O=C(NCc1c(F)cc(F)cc1F)c1cn2c(c(O)c1=O)C(=O)N1[C@@H]3CC[C@@H](C3)O[C@H]1C2,6.86,1,O=C(NCc1ccccc1)c1cn2c(cc1=O)C(=O)N1C3CCC(C3)OC1C2,OCT2,CHEMBL1743122
CHEMBL5960223,,O=C(NCc1c(F)cc(F)cc1F)c1cn2c(c(O)c1=O)C(=O)N1[C@@H]3C[C@@H](C[C@H]3F)[C@@H]1C2,5.0,2,O=C(NCc1ccccc1)c1cn2c(cc1=O)C(=O)N1C3CCC(C3)C1C2,OCT2,CHEMBL1743122
CHEMBL5981712,,O=C(NCc1c(F)cc(F)cc1F)c1cn2c(c(O)c1=O)C(=O)N1[C@H](C2)[C@@H]2C[C@@H](F)[C@H]1C2,5.0,1,O=C(NCc1ccccc1)c1cn2c(cc1=O)C(=O)N1C3CCC(C3)C1C2,OCT2,CHEMBL1743122
CHEMBL5817410,,O=C(NCc1c(F)cc(F)cc1F)c1cn2c(c(O)c1=O)C(=O)N1[C@H](C2)[C@H]2C[C@@H]1C(F)(F)C2,5.0,3,O=C(NCc1ccccc1)c1cn2c(cc1=O)C(=O)N1C3CCC(C3)C1C2,OCT2,CHEMBL1743122
