pair,analysis_set,estimand,score_definition,comparison,n_pos,n_neg,n_neither,independent,reported,ci_lo,ci_hi,n_boot_total,n_boot_valid,ligand_ids_pos,source_result_file
PPARG/PPARA,main,AUROC_mean_D_vs_AplusB,S_mean=(S_A+S_B)/2,dual vs pooled A-only+B-only,32,63,,0.6726190476190477,,,,,,,secondary candidate-ranking diagnostic; not a primary directional endpoint
PPARG/PPARA,main,delta_AUROC_mean_neither_minus_AplusB,same S_mean,D-vs-neither minus D-vs-A+B,32,63,,0.012648809523809423,,,,,,,secondary diagnostic
PPARG/PPARA,main,delta_summary_min_matched_minus_mismatched,swap existing S_A/S_B assignment; no redocking,matched vs mismatched summary_min,32,63,,0.029564642137096753,,-0.07895711925847751,0.1619893376285379,,,,independent paired ligand resample
PPARA/PPARD,main,AUROC_D_vs_A_pocketB,S_B=-E_B mode1,dual vs A-only,32,32,,0.646484375,0.646484375,0.5044910982410982,0.7756760912698412,2000,2000,PAPD_065;PAPD_066;PAPD_067;PAPD_068;PAPD_069;PAPD_070;PAPD_071;PAPD_072;PAPD_073;PAPD_074;PAPD_075;PAPD_076;PAPD_077;PAPD_078;PAPD_079;PAPD_080;PAPD_081;PAPD_082;PAPD_083;PAPD_084;PAPD_085;PAPD_086;PAPD_087;PAPD_088;PAPD_089;PAPD_090;PAPD_091;PAPD_092;PAPD_093;PAPD_094;PAPD_095;PAPD_096,independent recompute; cross-check primary_directional_intervals_review_v1.csv
PPARA/PPARD,main,AUROC_D_vs_B_pocketA,S_A=-E_A mode1,dual vs B-only,32,32,,0.4462890625,0.4462890625,0.29583333333333334,0.5858570038033101,2000,2000,PAPD_065;PAPD_066;PAPD_067;PAPD_068;PAPD_069;PAPD_070;PAPD_071;PAPD_072;PAPD_073;PAPD_074;PAPD_075;PAPD_076;PAPD_077;PAPD_078;PAPD_079;PAPD_080;PAPD_081;PAPD_082;PAPD_083;PAPD_084;PAPD_085;PAPD_086;PAPD_087;PAPD_088;PAPD_089;PAPD_090;PAPD_091;PAPD_092;PAPD_093;PAPD_094;PAPD_095;PAPD_096,independent recompute; cross-check primary_directional_intervals_review_v1.csv
PPARA/PPARD,main,summary_min,"min(D/A,D/B)",weaker directional arm,32,32,,0.4462890625,0.4462890625,0.29583333333333334,0.584130291005291,2000,2000,PAPD_065;PAPD_066;PAPD_067;PAPD_068;PAPD_069;PAPD_070;PAPD_071;PAPD_072;PAPD_073;PAPD_074;PAPD_075;PAPD_076;PAPD_077;PAPD_078;PAPD_079;PAPD_080;PAPD_081;PAPD_082;PAPD_083;PAPD_084;PAPD_085;PAPD_086;PAPD_087;PAPD_088;PAPD_089;PAPD_090;PAPD_091;PAPD_092;PAPD_093;PAPD_094;PAPD_095;PAPD_096,independent recompute; cross-check primary_directional_intervals_review_v1.csv
PPARA/PPARD,main,fixed_score_delta_pocketA,S_A only,D-vs-neither minus D-vs-B-only,32,32,14,0.0380859375,,-0.1358956473214286,0.2176339285714286,,,,independent boot_delta shared dual draw
PPARA/PPARD,main,fixed_score_delta_pocketB,S_B only,D-vs-neither minus D-vs-A-only,32,32,14,0.018694196428571397,,,,,,,independent boot_delta shared dual draw
PPARA/PPARD,main,AUROC_mean_D_vs_neither,S_mean=(S_A+S_B)/2,dual vs neither,32,14,,0.5647321428571429,0.565,,,,,,independent complete-case vina_mean
PPARA/PPARD,main,AUROC_mean_D_vs_AplusB,S_mean=(S_A+S_B)/2,dual vs pooled A-only+B-only,32,64,,0.512451171875,,,,,,,secondary candidate-ranking diagnostic; not a primary directional endpoint
PPARA/PPARD,main,delta_AUROC_mean_neither_minus_AplusB,same S_mean,D-vs-neither minus D-vs-A+B,32,64,,0.052280970982142905,,,,,,,secondary diagnostic
PPARA/PPARD,main,delta_summary_min_matched_minus_mismatched,swap existing S_A/S_B assignment; no redocking,matched vs mismatched summary_min,32,64,,0.01171875,,-0.08769707200086002,0.14324953561371212,,,,independent paired ligand resample
EGFR/HER2,main,AUROC_ECFP4_OOF,Morgan r=2 2048-bit GroupKFold logistic C=1,D_vs_A,28,38,,0.7453007518796992,0.7453,,,,,,independent GroupKFold; deposited incremental_information / ecfp4_incremental
EGFR/HER2,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_A,28,38,,0.7509398496240601,0.7509,,,,,,same splits as ECFP4-only
EGFR/HER2,main,delta_AUROC_incremental,"ECFP4+docking minus ECFP4, same OOF folds",D_vs_A,28,38,,0.005639097744360888,0.005600000000000049,,,,,,paired same-fold subtraction
EGFR/HER2,main,AUROC_ECFP4_OOF,Morgan r=2 2048-bit GroupKFold logistic C=1,D_vs_B,28,32,,0.8895089285714286,0.8895,,,,,,independent GroupKFold; deposited incremental_information / ecfp4_incremental
EGFR/HER2,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_B,28,32,,0.8872767857142857,0.8873,,,,,,same splits as ECFP4-only
EGFR/HER2,main,delta_AUROC_incremental,"ECFP4+docking minus ECFP4, same OOF folds",D_vs_B,28,32,,-0.0022321428571429047,-0.0021999999999999797,,,,,,paired same-fold subtraction
JAK1/JAK2,main,AUROC_ECFP4_OOF,Morgan r=2 2048-bit GroupKFold logistic C=1,D_vs_A,32,32,,0.91455078125,0.9146,,,,,,independent GroupKFold; deposited incremental_information / ecfp4_incremental
JAK1/JAK2,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_A,32,32,,0.916015625,0.916,,,,,,same splits as ECFP4-only
JAK1/JAK2,main,delta_AUROC_incremental,"ECFP4+docking minus ECFP4, same OOF folds",D_vs_A,32,32,,0.00146484375,0.0014000000000000679,,,,,,paired same-fold subtraction
JAK1/JAK2,main,AUROC_ECFP4_OOF,Morgan r=2 2048-bit GroupKFold logistic C=1,D_vs_B,32,32,,0.9677734375,0.9678,,,,,,independent GroupKFold; deposited incremental_information / ecfp4_incremental
JAK1/JAK2,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_B,32,32,,0.96875,0.9688,,,,,,same splits as ECFP4-only
JAK1/JAK2,main,delta_AUROC_incremental,"ECFP4+docking minus ECFP4, same OOF folds",D_vs_B,32,32,,0.0009765625,0.0010000000000000009,,,,,,paired same-fold subtraction
JAK1/TYK2,main,AUROC_ECFP4_OOF,Morgan r=2 2048-bit GroupKFold logistic C=1,D_vs_A,31,32,,0.8457661290322581,0.8458,,,,,,independent GroupKFold; deposited incremental_information / ecfp4_incremental
