target,ligand,mode,status,cnn_score,cnn_affinity,reason
4UDW,F2F10_044,mode_04,success,0.0174768325,5.8216719627,
4UDW,F2F10_044,mode_06,success,0.0404902287,6.7504005432,
4UDW,F2F10_044,mode_05,success,0.0201850031,6.96251297,
4UDW,F2F10_044,mode_07,success,0.0142541947,5.4593238831,
4UDW,F2F10_044,mode_09,success,0.0159149561,5.7701225281,
4UDW,F2F10_045,mode_01,success,0.2766999006,7.2589812279,
4UDW,F2F10_044,mode_08,success,0.0078263087,4.698223114,
4UDW,F2F10_045,mode_03,success,0.0846095607,5.8898272514,
4UDW,F2F10_045,mode_06,success,0.0557661802,6.5792784691,
4UDW,F2F10_045,mode_07,success,0.0945053846,5.656452179,
4UDW,F2F10_045,mode_04,success,0.0307389665,5.9989638329,
4UDW,F2F10_045,mode_05,success,0.0528596528,6.189365387,
4UDW,F2F10_045,mode_02,success,0.0609914139,5.7758841515,
4UDW,F2F10_045,mode_09,success,0.1183676124,5.9947795868,
4UDW,F2F10_046,mode_01,success,0.11288701,7.0144538879,
4UDW,F2F10_046,mode_02,success,0.422336787,7.8830170631,
4UDW,F2F10_045,mode_08,success,0.0464670099,5.7826666832,
4UDW,F2F10_046,mode_03,success,0.1080527306,7.0347366333,
4UDW,F2F10_046,mode_04,success,0.4126026034,7.8736872673,
4UDW,F2F10_047,mode_01,success,0.7905961871,7.8103289604,
4UDW,F2F10_047,mode_04,success,0.5462793112,7.4262652397,
4UDW,F2F10_047,mode_03,success,0.6047423482,7.5324988365,
4UDW,F2F10_046,mode_05,success,0.0514957048,6.5255026817,
