pair_hint,target,ligand,cnn_score,cnn_affinity
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_043,0.5765489936,7.984172821
JAK1/JAK2,8BXH,J1J2_043,0.8280420303,8.4602270126
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_044,0.2900652587,6.7047839165
JAK1/JAK2,8BXH,J1J2_044,0.2551648021,6.2623143196
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_045,0.3963539004,7.0514569283
JAK1/JAK2,8BXH,J1J2_045,0.3812002838,7.0117058754
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_046,0.5884163976,7.3644852638
JAK1/JAK2,8BXH,J1J2_046,0.2938502431,6.6900367737
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_047,0.2631870806,6.9671134949
JAK1/JAK2,8BXH,J1J2_047,0.7647249103,7.894973278
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_048,0.6805281639,7.9172081947
JAK1/JAK2,8BXH,J1J2_048,0.4618428349,7.8100533485
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_049,0.6858609319,7.7322983742
JAK1/JAK2,8BXH,J1J2_049,0.7962929606,7.710545063
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_050,0.6096169949,7.4437980652
JAK1/JAK2,8BXH,J1J2_050,0.7194464803,7.552924633
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_051,0.5816521049,7.5967259407
JAK1/JAK2,8BXH,J1J2_051,0.5707557797,7.6231226921
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_052,0.6722775698,7.9721770287
JAK1/JAK2,8BXH,J1J2_052,0.7930719256,8.0520238876
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_053,0.5865352154,7.6638350487
JAK1/JAK2,8BXH,J1J2_053,0.639087081,7.8355641365
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_054,0.808070302,7.6709961891
JAK1/JAK2,8BXH,J1J2_054,0.916120708,8.1186094284
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_055,0.4499850571,7.2886357307
JAK1/JAK2,8BXH,J1J2_055,0.3690084815,6.7728095055
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_056,0.586169064,7.4484877586
JAK1/JAK2,8BXH,J1J2_056,0.9620711803,8.1824541092
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_057,0.7715566754,7.8488273621
JAK1/JAK2,8BXH,J1J2_057,0.271355629,7.2868614197
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_058,0.5646347404,7.4942879677
JAK1/JAK2,8BXH,J1J2_058,0.8275079727,7.7970809937
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_059,0.5950320363,7.5159816742
JAK1/JAK2,8BXH,J1J2_059,0.8580357432,8.1060609818
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_060,0.6034787893,7.3119950294
JAK1/JAK2,8BXH,J1J2_060,0.6588829756,7.7259259224
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_061,0.7886090875,7.5975875854
