target_chembl,uniprot,gene_symbol,pref_name,protein_class,n_mols,metal_enzyme_risk
CHEMBL2682,Q9Y2E5,MAN2B2,Epididymis-specific alpha-mannosidase,Hydrolase,1,0
CHEMBL2314,Q7Z4W1,DCXR,L-xylulose reductase,Oxidoreductase,1,0
CHEMBL3631,P05107,ITGB2,Integrin beta-2,Membrane receptor,1,0
CHEMBL3661,Q71U36,TUBA1A,Tubulin alpha-1A chain,Structural protein,1,0
CHEMBL4337,O43674,NDUFB5,NADH-ubiquinone oxidoreductase SGDH subunit,Oxidoreductase,1,0
CHEMBL4962,P04632,CAPNS1,Calpain small subunit 1,Cysteine protease C2 regulatory subfamily,1,0
CHEMBL2422,P30281,CCND3,G1/S-specific cyclin-D3,Other cytosolic protein,1,0
CHEMBL2342,Q9NWM8,FKBP14,Peptidyl-prolyl cis-trans isomerase FKBP14,Isomerase,1,0
CHEMBL2357,P17568,NDUFB7,NADH-ubiquinone oxidoreductase B18 subunit,Oxidoreductase,1,0
CHEMBL3619,P22310,UGT1A4,UDP-glucuronosyltransferase 1A4,Transferase,1,0
CHEMBL4500,P29803,PDHA2,"Pyruvate dehydrogenase E1 component subunit alpha, testis-specific form, mitochondrial",Oxidoreductase,1,0
CHEMBL4629,P08603,CFH,Complement factor H,Secreted protein,1,0
CHEMBL4504,P52757,CHN2,Beta-chimaerin,Other cytosolic protein,1,0
CHEMBL2670,O15547,P2RX6,P2X purinoceptor 6,P2X receptor,1,0
CHEMBL5446,O60939,SCN2B,Sodium channel regulatory subunit beta-2,Sodium channel auxiliary subunit beta family,1,0
CHEMBL5108,Q15102,PAFAH1B3,Platelet-activating factor acetylhydrolase IB subunit alpha1,Hydrolase,1,0
CHEMBL5078,Q16558,KCNMB1,Large conductance calcium-activated potassium channel subfamily M beta member 1,Calcium-activated potassium channel auxiliary subunit slowpoke-beta family,1,0
CHEMBL5529,P48547,KCNC1,Voltage-gated potassium channel KCNC1,Voltage-gated potassium channel,1,0
CHEMBL4846,P16333,NCK1,SH2/SH3 adapter protein NCK1,Other cytosolic protein,1,0
CHEMBL4148,O75387,SLC43A1,Large neutral amino acids transporter small subunit 3,SLC43 family of large neutral amino acid transporters,1,0
CHEMBL5242,P14314,PRKCSH,Glucosidase 2 subunit beta,Enzyme,1,0
CHEMBL3692,Q12913,PTPRJ,Receptor-type tyrosine-protein phosphatase eta,Receptor tyrosine-protein phosphatase,1,0
CHEMBL5234,Q13404,UBE2V1,Ubiquitin-conjugating enzyme E2 variant 1,Unclassified protein,1,0
CHEMBL5295,Q12840,KIF5A,Kinesin heavy chain isoform 5A,Other cytosolic protein,1,0
CHEMBL5338,Q5MY95,ENTPD8,Ectonucleoside triphosphate diphosphohydrolase 8,Hydrolase,1,0
CHEMBL5574,Q15004,PCLAF,PCNA-associated factor,Other nuclear protein,1,0
CHEMBL5050,Q9Y5R2,MMP24,Matrix metalloproteinase-24,Metallo protease M10A subfamily,1,1
CHEMBL5778,O43524,FOXO3,Forkhead box protein O3,Transcription factor,1,0
CHEMBL5964,P55087,AQP4,Aquaporin-4,Water-specific aquaporin,1,0
CHEMBL5967,Q99661,KIF2C,Kinesin-like protein KIF2C,Other cytosolic protein,1,0
CHEMBL5974,Q9BPW9,DHRS9,Dehydrogenase/reductase SDR family member 9,Oxidoreductase,1,0
CHEMBL6008,O75828,CBR3,Carbonyl reductase [NADPH] 3,Oxidoreductase,1,0
CHEMBL6010,O75956,CDK2AP2,Cyclin-dependent kinase 2-associated protein 2,Unclassified protein,1,0
CHEMBL6087,P60763,RAC3,Ras-related C3 botulinum toxin substrate 3,Hydrolase,1,0
CHEMBL5806,P02724,GYPA,Glycophorin-A,Other membrane protein,1,0
CHEMBL5864,P33176,KIF5B,Kinesin-1 heavy chain,Other cytosolic protein,1,0
CHEMBL5899,Q02241,KIF23,Kinesin-like protein KIF23,Other cytosolic protein,1,0
CHEMBL5937,Q9NYP7,ELOVL5,Very long chain fatty acid elongase 5,Transferase,1,0
CHEMBL6048,Q8N118,CYP4X1,Cytochrome P450 4X1,Cytochrome P450 4X1,1,0
CHEMBL6097,O95864,FADS2,Acyl-CoA 6-desaturase,Oxidoreductase,1,0
CHEMBL6103,P08047,SP1,Transcription factor Sp1,Transcription factor,1,0
CHEMBL5675,P32321,DCTD,Deoxycytidylate deaminase,Hydrolase,1,0
CHEMBL5642,Q8NER5,ACVR1C,Activin receptor type-1C,TKL protein kinase STKR1,1,0
CHEMBL5960,P01011,SERPINA3,Alpha-1-antichymotrypsin,Unclassified protein,1,0
CHEMBL5985,P84077,ARF1,ADP-ribosylation factor 1,Unclassified protein,1,0
CHEMBL5986,P84085,ARF5,ADP-ribosylation factor 5,Unclassified protein,1,0
CHEMBL5841,P12318,FCGR2A,Low affinity immunoglobulin gamma Fc region receptor II-a,Membrane receptor,1,0
CHEMBL5842,O75015,FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Membrane receptor,1,0
CHEMBL1075114,Q9HC35,EML4,Echinoderm microtubule-associated protein-like 4,Unclassified protein,1,0
CHEMBL1163119,O43172,PRPF4,U4/U6 small nuclear ribonucleoprotein Prp4,Other nuclear protein,1,0
CHEMBL1250342,O00115,DNASE2,Deoxyribonuclease-2-alpha,Hydrolase,1,0
CHEMBL1250414,P55957,BID,BH3-interacting domain death agonist,Unclassified protein,1,0
CHEMBL1613744,P13498,CYBA,Cytochrome b-245 light chain,Transmembrane 1-electron transfer carriers,1,0
CHEMBL1615389,Q9UBT2,UBA2,SUMO-activating enzyme subunit 2,Aminoacyltransferase,1,0
CHEMBL1641353,P24928,POLR2A,DNA-directed RNA polymerase II subunit RPB1,Transferase,1,0
CHEMBL1649058,P01138,NGF,Beta-nerve growth factor,Secreted protein,1,0
CHEMBL1681619,P06132,UROD,Uroporphyrinogen decarboxylase,Lyase,1,0
CHEMBL1697669,P19022,CDH2,Cadherin-2,Adhesion,1,0
CHEMBL1741209,Q96QE3,ATAD5,ATPase family AAA domain-containing protein 5,Unclassified protein,1,0
CHEMBL1741210,Q99549,MPHOSPH8,M-phase phosphoprotein 8,Chromodomain,1,0
CHEMBL1741302,P61769,B2M,Beta-2-microglobulin,Unclassified protein,1,0
CHEMBL1741305,Q14116,IL18,Interleukin-18,Secreted protein,1,0
CHEMBL1743129,P21439,ABCB4,Phosphatidylcholine translocator ABCB4,ABCB subfamily,1,0
CHEMBL1743184,P10620,MGST1,Microsomal glutathione S-transferase 1,Transferase,1,0
CHEMBL1743186,O14880,MGST3,"Glutathione S-transferase 3, mitochondrial",Enzyme,1,0
CHEMBL1743319,O60656,UGT1A9,UDP-glucuronosyltransferase 1A9,Transferase,1,0
CHEMBL1744526,P16671,CD36,Platelet glycoprotein 4,Membrane receptor,1,0
CHEMBL1764939,P60903,S100A10,Protein S100-A10,Unclassified protein,1,0
CHEMBL1764945,Q86YI8,PHF13,PHD finger protein 13,Plant homeodomain,1,0
CHEMBL1795179,Q6R327,RICTOR,Rapamycin-insensitive companion of mTOR,Other cytosolic protein,1,0
CHEMBL1914276,P63252,KCNJ2,Inward rectifier potassium channel 2,Inwardly rectifying potassium channel,1,0
CHEMBL1914277,P48549,KCNJ3,G protein-activated inward rectifier potassium channel 1,Inwardly rectifying potassium channel,1,0
CHEMBL1938215,Q8IVT5,KSR1,Kinase suppressor of Ras 1,TKL protein kinase group,1,0
CHEMBL1938226,O60882,MMP20,Matrix metalloproteinase-20,Metallo protease M10A subfamily,1,1
CHEMBL1955709,P09651,HNRNPA1,Heterogeneous nuclear ribonucleoprotein A1,Other nuclear protein,1,0
CHEMBL1961786,Q14541,HNF4G,Hepatocyte nuclear factor 4-gamma,Nuclear hormone receptor subfamily 2 group A member 2,1,0
CHEMBL2010625,Q16198,EWS-Fli1,EWS-Fli1 protein,Unclassified protein,1,0
CHEMBL2010626,P50549,ETV1,ETS translocation variant 1,Unclassified protein,1,0
CHEMBL2016430,Q8TBC4,UBA3,NEDD8-activating enzyme E1 catalytic subunit,Ligase,1,0
CHEMBL2029194,O60282,KIF5C,Kinesin heavy chain isoform 5C,Other cytosolic protein,1,0
CHEMBL2040704,Q9H2U1,DHX36,ATP-dependent DNA/RNA helicase DHX36,Enzyme,1,0
CHEMBL2062353,P60709,ACTB,"Actin, cytoplasmic 1",Other cytosolic protein,1,0
CHEMBL2073668,Q9H015,SLC22A4,Solute carrier family 22 member 4,SLC22 family of organic cation and anion transporters,1,0
CHEMBL2073722,Q86VW1,SLC22A16,Solute carrier family 22 member 16,SLC22 family of organic cation and anion transporters,1,0
CHEMBL2146297,Q92698,RAD54L,DNA repair and recombination protein RAD54-like,Enzyme,1,0
CHEMBL2146301,P61956,SUMO2,Small ubiquitin-related modifier 2,Unclassified protein,1,0
CHEMBL2146347,P48050,KCNJ4,Inward rectifier potassium channel 4,Inwardly rectifying potassium channel,1,0
CHEMBL2146355,Q8TCG1,CIP2A,Protein CIP2A,Unclassified protein,1,0
CHEMBL2157856,Q9NPI8,FANCF,Fanconi anemia group F protein,Other nuclear protein,1,0
CHEMBL2157858,Q05923,DUSP2,Dual specificity protein phosphatase 2,Serine/threonine/tyrosine protein phosphatase,1,0
CHEMBL2163167,Q9H2M3,BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,Transferase,1,0
CHEMBL2163186,P07203,GPX1,Glutathione peroxidase 1,Oxidoreductase,1,0
CHEMBL2169732,Q9NYQ3,HAO2,2-Hydroxyacid oxidase 2,Oxidoreductase,1,0
CHEMBL2189133,Q5VWZ2,LYPLAL1,Lysophospholipase-like protein 1,Hydrolase,1,0
CHEMBL2189134,Q8NFV4,ABHD11,sn-1-specific diacylglycerol lipase ABHD11,Hydrolase,1,0
CHEMBL2189144,Q99570,PIK3R4,Phosphoinositide 3-kinase regulatory subunit 4,Enzyme,1,0
CHEMBL2189153,Q99757,TXN2,"Thioredoxin, mitochondrial",Oxidoreductase,1,0
CHEMBL2311229,O75351,VPS4B,Vacuolar protein sorting-associated protein 4B,Hydrolase,1,0
CHEMBL2311231,P46459,NSF,Vesicle-fusing ATPase,Vesicle fusion pores,1,0
CHEMBL2321616,Q13123,IK,Protein Red,Other nuclear protein,1,0
CHEMBL2321618,Q92953,KCNB2,Potassium voltage-gated channel subfamily B member 2,Voltage-gated potassium channel,1,0
CHEMBL2321623,P41226,UBA7,Ubiquitin-like modifier-activating enzyme 7,Enzyme,1,0
CHEMBL2331054,O75832,PSMD10,26S proteasome non-ATPase regulatory subunit 10,Unclassified protein,1,0
CHEMBL2331055,Q6Y7W6,GIGYF2,GRB10-interacting GYF protein 2,Unclassified protein,1,0
CHEMBL2331067,Q5QJU3,ACER2,Alkaline ceramidase 2,Hydrolase,1,0
CHEMBL2346490,O75909,CCNK,Cyclin-K,Protein kinase regulatory subunit,1,0
CHEMBL2364164,P16410,CTLA4,Cytotoxic T-lymphocyte protein 4,Surface antigen,1,0
CHEMBL2375201,Q01974,ROR2,Tyrosine-protein kinase transmembrane receptor ROR2,TK protein kinase group,1,0
CHEMBL2401606,P41212,ETV6,Transcription factor ETV6,Transcription factor,1,0
CHEMBL2417354,Q53H12,AGK,"Acylglycerol kinase, mitochondrial",Transferase,1,0
CHEMBL2424505,P45877,PPIC,Peptidyl-prolyl cis-trans isomerase C,Isomerase,1,0
CHEMBL3108657,P46952,HAAO,"3-hydroxyanthranilate 3,4-dioxygenase",Oxidoreductase,1,0
CHEMBL3120040,Q8N122,RPTOR,Regulatory-associated protein of mTOR,Unclassified protein,1,0
CHEMBL3120041,O00411,POLRMT,"DNA-directed RNA polymerase, mitochondrial",Transferase,1,0
CHEMBL3137294,P04085,PDGFA,Platelet-derived growth factor subunit A,Secreted protein,1,0
CHEMBL3137295,Q9NRN7,AASDHPPT,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,Transferase,1,0
CHEMBL3217376,Q9Y303,AMDHD2,N-acetylglucosamine-6-phosphate deacetylase,Hydrolase,1,0
CHEMBL3217402,P25791,LMO2,Rhombotin-2,Transcription factor,1,0
CHEMBL3232682,Q9Y2K6,USP20,Ubiquitin carboxyl-terminal hydrolase 20,Cysteine protease C19 family,1,0
CHEMBL3259465,Q9Y6I3,EPN1,Epsin-1,Unclassified protein,1,0
CHEMBL3259468,Q15370,ELOB,Elongin-B,Unclassified protein,1,0
CHEMBL3259469,Q15369,ELOC,Elongin-C,Unclassified protein,1,0
CHEMBL3259472,P15498,VAV1,Proto-oncogene vav,Unclassified protein,1,0
CHEMBL3271932,Q9NVS9,PNPO,Pyridoxine-5'-phosphate oxidase,Oxidoreductase,1,0
CHEMBL3286077,P51671,CCL11,Eotaxin,Secreted protein,1,0
CHEMBL3286078,P22004,BMP6,Bone morphogenetic protein 6,Metallo protease M12A subfamily,1,0
CHEMBL3308923,P49720,PSMB3,Proteasome subunit beta type-3,Threonine protease T1A subfamily,1,0
CHEMBL3308924,Q86WA6,BPHL,Serine hydrolase BPHL,Hydrolase,1,0
CHEMBL3309107,Q9NYW5,TAS2R4,Taste receptor type 2 member 4,Taste receptor (taste family GPCR),1,0
CHEMBL3309108,P59536,TAS2R41,Taste receptor type 2 member 41,Taste receptor (taste family GPCR),1,0
CHEMBL3309109,P59551,TAS2R60,Taste receptor type 2 member 60,Taste receptor (taste family GPCR),1,0
CHEMBL3309110,Q9NYW1,TAS2R9,Taste receptor type 2 member 9,Taste receptor (taste family GPCR),1,0
CHEMBL3341580,Q15185,PTGES3,Prostaglandin E synthase 3,Isomerase,1,0
CHEMBL3351186,Q9BW92,TARS2,"Threonine--tRNA ligase, mitochondrial",Ligase,1,0
CHEMBL3351203,Q8TAF3,WDR48,WD repeat-containing protein 48,WDR domain,1,0
CHEMBL3392946,Q96A54,ADIPOR1,Adiponectin receptor protein 1,Membrane receptor,1,0
CHEMBL3392947,Q86V24,ADIPOR2,Adiponectin receptor protein 2,Membrane receptor,1,0
CHEMBL3407320,Q04721,NOTCH2,Neurogenic locus notch homolog protein 2,Membrane receptor,1,0
CHEMBL3407321,Q99466,NOTCH4,Neurogenic locus notch homolog protein 4,Membrane receptor,1,0
CHEMBL3407324,Q92995,USP13,Ubiquitin carboxyl-terminal hydrolase 13,Cysteine protease C19 family,1,0
CHEMBL3407327,Q9BZ23,PANK2,"Pantothenate kinase 2, mitochondrial",Enzyme,1,0
CHEMBL3425390,Q15256,PTPRR,Receptor-type tyrosine-protein phosphatase R,Receptor tyrosine-protein phosphatase,1,0
CHEMBL3509604,Q8IXL7,MSRB3,Methionine-R-sulfoxide reductase B3,Oxidoreductase,1,0
CHEMBL3542435,P35503,UGT1A3,UDP-glucuronosyltransferase 1A3,Transferase,1,0
CHEMBL3559690,Q8IZL9,CDK20,Cyclin-dependent kinase 20,CMGC protein kinase CDK family,1,0
CHEMBL3559705,P59543,TAS2R20,Taste receptor type 2 member 20,Taste receptor (taste family GPCR),1,0
CHEMBL3559706,P59544,TAS2R50,Taste receptor type 2 member 50,Taste receptor (taste family GPCR),1,0
CHEMBL3580492,P35613,BSG,Basigin,Membrane receptor,1,0
CHEMBL3580493,P16422,EPCAM,Epithelial cell adhesion molecule,Adhesion,1,0
CHEMBL3580496,P01583,IL1A,Interleukin-1 alpha,Secreted protein,1,0
CHEMBL3580523,P07602,PSAP,Prosaposin,Unclassified protein,1,0
CHEMBL3588728,Q9Y4K3,TRAF6,TNF receptor-associated factor 6,Ligase,1,0
CHEMBL3588737,Q9NQV7,PRDM9,Histone-lysine N-methyltransferase PRDM9,PR domain,1,0
CHEMBL3621033,Q9BSJ8,ESYT1,Extended synaptotagmin-1,Unclassified protein,1,0
CHEMBL3627582,Q9BXA6,TSSK6,Testis-specific serine/threonine-protein kinase 6,CAMK protein kinase TSSK family,1,0
CHEMBL3627583,Q6VAB6,KSR2,Kinase suppressor of Ras 2,Transferase,1,0
CHEMBL3627584,Q5TCX8,MAP3K21,Mitogen-activated protein kinase kinase kinase 21,Transferase,1,0
CHEMBL3632457,P61024,CKS1B,Cyclin-dependent kinases regulatory subunit 1,Protein kinase regulatory subunit,1,0
CHEMBL3707468,P49795,RGS19,Regulator of G-protein signaling 19,Enzyme,1,0
CHEMBL3707469,O15492,RGS16,Regulator of G-protein signaling 16,Enzyme,1,0
CHEMBL3712821,O00512,BCL9,B-cell CLL/lymphoma 9 protein,Unclassified protein,1,0
CHEMBL3712851,Q13183,SLC13A2,Solute carrier family 13 member 2,SLC13 family of sodium-dependent sulphate/carboxylate transporters,1,0
CHEMBL3712852,P40259,CD79B,B-cell antigen receptor complex-associated protein beta chain,Unclassified protein,1,0
CHEMBL3712894,P05112,IL4,Interleukin-4,Secreted protein,1,0
CHEMBL3712964,P02778,CXCL10,C-X-C motif chemokine 10,Secreted protein,1,0
CHEMBL3713395,Q13018,PLA2R1,Secretory phospholipase A2 receptor,Unclassified protein,1,0
CHEMBL3714046,O14804,TAAR5,Trace amine-associated receptor 5,Family A G protein-coupled receptor,1,0
CHEMBL3714503,Q9NY65,TUBA8,Tubulin alpha-8 chain,Structural protein,1,0
CHEMBL3721304,P62873,GNB1,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,Unclassified protein,1,0
CHEMBL3734643,Q14469,HES1,Transcription factor HES-1,Transcription factor,1,0
CHEMBL3739253,O75844,ZMPSTE24,CAAX prenyl protease 1 homolog,Metallo protease M48A subfamily,1,0
CHEMBL3751653,Q8TCD5,NT5C,"5'(3')-deoxyribonucleotidase, cytosolic type",Phosphatase,1,0
CHEMBL3763001,Q6J4K2,SLC8B1,Mitochondrial sodium/calcium exchanger protein,SLC08 family of sodium/calcium exchangers,1,0
CHEMBL3784907,P63146,UBE2B,Ubiquitin-conjugating enzyme E2 B,Aminoacyltransferase,1,0
CHEMBL3797014,O76031,CLPX,"ATP-dependent clpX-like chaperone, mitochondrial",Enzyme,1,0
CHEMBL3817722,Q9UFN0,NIPSNAP3A,Protein NipSnap homolog 3A,Unclassified protein,1,0
CHEMBL3831203,P35998,PSMC2,26S proteasome regulatory subunit 7,Enzyme,1,0
CHEMBL3831213,Q15008,PSMD6,26S proteasome non-ATPase regulatory subunit 6,Enzyme,1,0
CHEMBL3831215,Q9UNM6,PSMD13,26S proteasome non-ATPase regulatory subunit 13,Enzyme,1,0
CHEMBL3879824,Q9BRX8,PRXL2A,Peroxiredoxin-like 2A,Unclassified protein,1,0
CHEMBL3879825,Q9NX74,DUS2,tRNA-dihydrouridine(20) synthase [NAD(P)+]-like,Oxidoreductase,1,0
CHEMBL3879826,P62820,RAB1A,Ras-related protein Rab-1A,Hydrolase,1,0
CHEMBL3879836,O14966,RAB29,Ras-related protein Rab-7L1,Hydrolase,1,0
CHEMBL3879869,Q8NFF5,FLAD1,FAD synthase,Transferase,1,0
CHEMBL3886061,Q99733,NAP1L4,Nucleosome assembly protein 1-like 4,Unclassified protein,1,0
CHEMBL3886123,Q9UKU6,TRHDE,Thyrotropin-releasing hormone-degrading ectoenzyme,Hydrolase,1,0
CHEMBL4105759,O43187,IRAK2,Interleukin-1 receptor-associated kinase-like 2,Unclassified protein,1,0
CHEMBL4105773,Q5H9R7,PPP6R3,Serine/threonine-protein phosphatase 6 regulatory subunit 3,Protein phosphatase regulatory subunit,1,0
CHEMBL4105788,Q9BY32,ITPA,Inosine triphosphate pyrophosphatase,Hydrolase,1,0
CHEMBL4105797,Q9NZT2,OGFR,Opioid growth factor receptor,Unclassified protein,1,0
CHEMBL4105814,Q7L2E3,DHX30,ATP-dependent RNA helicase DHX30,Hydrolase,1,0
CHEMBL4105827,Q9NV35,NUDT15,Nucleotide triphosphate diphosphatase NUDT15,Hydrolase,1,0
CHEMBL4105842,Q96JB2,COG3,Conserved oligomeric Golgi complex subunit 3,Other cytosolic protein,1,0
CHEMBL4105855,P49585,PCYT1A,Choline-phosphate cytidylyltransferase A,Transferase,1,0
CHEMBL4105888,Q7Z406,MYH14,Myosin-14,Unclassified protein,1,0
CHEMBL4105893,P61019,RAB2A,Ras-related protein Rab-2A,Hydrolase,1,0
CHEMBL4105895,P22674,CCNO,Cyclin-O,Protein kinase regulatory subunit,1,0
CHEMBL4105903,Q6PJP8,DCLRE1A,DNA cross-link repair 1A protein,Other nuclear protein,1,0
CHEMBL4105922,Q8NB46,ANKRD52,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C,Protein phosphatase regulatory subunit,1,0
CHEMBL4105936,O60361,NME2P1,Putative nucleoside diphosphate kinase,Transferase,1,0
CHEMBL4105954,O15047,SETD1A,Histone-lysine N-methyltransferase SETD1A,Transferase,1,0
CHEMBL4105961,Q92600,CNOT9,CCR4-NOT transcription complex subunit 9,Unclassified protein,1,0
CHEMBL4105962,Q9Y2V7,COG6,Conserved oligomeric Golgi complex subunit 6,Other cytosolic protein,1,0
CHEMBL4105974,Q8IYD1,GSPT2,Eukaryotic peptide chain release factor GTP-binding subunit ERF3B,Unclassified protein,1,0
CHEMBL4105986,Q14188,TFDP2,Transcription factor Dp-2,Transcription factor,1,0
CHEMBL4105993,Q9BRQ6,CHCHD6,MICOS complex subunit MIC25,Unclassified protein,1,0
CHEMBL4295630,A1Z1Q3,MACROD2,ADP-ribose glycohydrolase MACROD2,Hydrolase,1,0
CHEMBL4295655,O15067,PFAS,Phosphoribosylformylglycinamidine synthase,Ligase,1,0
CHEMBL4295657,O15144,ARPC2,Actin-related protein 2/3 complex subunit 2,Unclassified protein,1,0
CHEMBL4295663,O43396,TXNL1,Thioredoxin-like protein 1,Oxidoreductase,1,0
CHEMBL4295669,O60763,USO1,General vesicular transport factor p115,Unclassified protein,1,0
CHEMBL4295670,O60869,EDF1,Endothelial differentiation-related factor 1,Unclassified protein,1,0
CHEMBL4295671,O60884,DNAJA2,DnaJ homolog subfamily A member 2,Unclassified protein,1,0
CHEMBL4295677,O75369,FLNB,Filamin-B,Structural protein,1,0
CHEMBL4295679,O75396,SEC22B,Vesicle-trafficking protein SEC22b,Unclassified protein,1,0
CHEMBL4295698,P05387,RPLP2,Large ribosomal subunit protein P2,Other cytosolic protein,1,0
CHEMBL4295701,P06681,C2,Complement C2,Hydrolase,1,0
CHEMBL4295702,P06744,GPI,Glucose-6-phosphate isomerase,Isomerase,1,0
CHEMBL4295704,P09132,SRP19,Signal recognition particle 19 kDa protein,Unclassified protein,1,0
CHEMBL4295718,P13796,LCP1,Plastin-2,Unclassified protein,1,0
CHEMBL4295720,P16989,YBX3,Y-box-binding protein 3,Transcription factor,1,0
CHEMBL4295731,P24534,EEF1B2,Elongation factor 1-beta,Unclassified protein,1,0
CHEMBL4295748,P35221,CTNNA1,Catenin alpha-1,Adhesion,1,0
CHEMBL4295756,P38606,ATP6V1A,V-type proton ATPase catalytic subunit A,V-type ATPase,1,0
CHEMBL4295760,P42566,EPS15,Epidermal growth factor receptor substrate 15,Unclassified protein,1,0
CHEMBL4295771,P49406,MRPL19,Large ribosomal subunit protein bL19m,Other cytosolic protein,1,0
CHEMBL4295772,P49755,TMED10,Transmembrane emp24 domain-containing protein 10,Unclassified protein,1,0
CHEMBL4295774,P50552,VASP,Vasodilator-stimulated phosphoprotein,Unclassified protein,1,0
CHEMBL4295776,P51398,DAP3,Small ribosomal subunit protein mS29,Other cytosolic protein,1,0
CHEMBL4295784,P54886,ALDH18A1,Delta-1-pyrroline-5-carboxylate synthase,Oxidoreductase,1,0
CHEMBL4295786,P61011,SRP54,Signal recognition particle subunit SRP54,Unclassified protein,1,0
CHEMBL4295789,P67936,TPM4,Tropomyosin alpha-4 chain,Unclassified protein,1,0
CHEMBL4295796,Q00341,HDLBP,Vigilin,Unclassified protein,1,0
CHEMBL4295798,Q01105,SET,Protein SET,Unclassified protein,1,0
CHEMBL4295804,Q06323,PSME1,Proteasome activator complex subunit 1,Unclassified protein,1,0
CHEMBL4295806,Q08357,SLC20A2,Sodium-dependent phosphate transporter 2,SLC20 family of sodium-dependent phosphate transporters,1,0
CHEMBL4295813,Q13242,SRSF9,Serine/arginine-rich splicing factor 9,Unclassified protein,1,0
CHEMBL4295815,Q13409,DYNC1I2,Cytoplasmic dynein 1 intermediate chain 2,Unclassified protein,1,0
CHEMBL4295821,Q14444,CAPRIN1,Caprin-1,Unclassified protein,1,0
CHEMBL4295832,Q15942,ZYX,Zyxin,Adhesion,1,0
CHEMBL4295834,Q16555,DPYSL2,Dihydropyrimidinase-related protein 2,Unclassified protein,1,0
CHEMBL4295894,Q8IWE4,DCUN1D3,DCN1-like protein 3,Unclassified protein,1,0
CHEMBL4295896,Q8IZ83,ALDH16A1,Aldehyde dehydrogenase family 16 member A1,Oxidoreductase,1,0
CHEMBL4295903,Q8NF37,LPCAT1,Lysophosphatidylcholine acyltransferase 1,Transferase,1,0
CHEMBL4295918,Q92888,ARHGEF1,Rho guanine nucleotide exchange factor 1,Unclassified protein,1,0
CHEMBL4295921,Q969T7,NT5C3B,7-methylguanosine phosphate-specific 5'-nucleotidase,Hydrolase,1,0
CHEMBL4295925,Q96J02,ITCH,E3 ubiquitin-protein ligase Itchy homolog,Transferase,1,0
CHEMBL4295933,Q9BPW8,NIPSNAP1,Protein NipSnap homolog 1,Unclassified protein,1,0
CHEMBL4295934,Q9BQ69,MACROD1,ADP-ribose glycohydrolase MACROD1,Hydrolase,1,0
CHEMBL4295936,Q9BSD7,NTPCR,Cancer-related nucleoside-triphosphatase,Hydrolase,1,0
CHEMBL4295939,Q9C0C2,TNKS1BP1,182 kDa tankyrase-1-binding protein,Unclassified protein,1,0
CHEMBL4295945,Q9H857,NT5DC2,5'-nucleotidase domain-containing protein 2,Hydrolase,1,0
CHEMBL4295963,Q9NX46,ADPRS,ADP-ribosylhydrolase ARH3,Hydrolase,1,0
CHEMBL4295964,Q9NY64,SLC2A8,"Solute carrier family 2, facilitated glucose transporter member 8",SLC02 family of hexose and sugar alcohol transporters,1,0
CHEMBL4295972,Q9UBQ7,GRHPR,Glyoxylate reductase/hydroxypyruvate reductase,Oxidoreductase,1,0
CHEMBL4295980,Q9UKX2,MYH2,Myosin-2,Unclassified protein,1,0
CHEMBL4295986,Q9Y2R9,MRPS7,Small ribosomal subunit protein uS7m,Other cytosolic protein,1,0
CHEMBL4295993,Q9Y5M8,SRPRB,Signal recognition particle receptor subunit beta,Unclassified protein,1,0
CHEMBL4296006,P67809,YBX1,Y-box-binding protein 1,Transcription factor,1,0
CHEMBL4296007,Q00839,HNRNPU,Heterogeneous nuclear ribonucleoprotein U,Unclassified protein,1,0
CHEMBL4296015,Q99627,COPS8,COP9 signalosome complex subunit 8,Unclassified protein,1,0
CHEMBL4296016,Q9NR30,DDX21,Nucleolar RNA helicase 2,Hydrolase,1,0
CHEMBL4296019,P43246,MSH2,DNA mismatch repair protein Msh2,Unclassified protein,1,0
CHEMBL4296310,Q04864,REL,Proto-oncogene c-Rel,Transcription factor,1,0
CHEMBL4523119,O00505,KPNA3,Importin subunit alpha-4,Unclassified protein,1,0
CHEMBL4523135,O43314,PPIP5K2,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2,Transferase,1,0
CHEMBL4523136,O43426,SYNJ1,Synaptojanin-1,Hydrolase,1,0
CHEMBL4523145,O60664,PLIN3,Perilipin-3,Other cytosolic protein,1,0
CHEMBL4523157,O95279,KCNK5,Potassium channel subfamily K member 5,Two-pore domain potassium channel,1,0
CHEMBL4523220,P35713,SOX18,Transcription factor SOX-18,Transcription factor,1,0
CHEMBL4523233,P49711,CTCF,Transcriptional repressor CTCF,Unclassified protein,1,0
CHEMBL4523236,P51530,DNA2,DNA replication ATP-dependent helicase/nuclease DNA2,Hydrolase,1,0
CHEMBL4523243,P54840,GYS2,"Glycogen [starch] synthase, liver",Transferase,1,0
CHEMBL4523249,P59534,TAS2R39,Taste receptor type 2 member 39,Taste receptor (taste family GPCR),1,0
