ligand,target,vina_mode,vina_score
PAB_023,PIK3CB,6,-7.363
PAB_023,PIK3CB,7,-7.347
PAB_023,PIK3CB,8,-7.068
PAB_023,PIK3CB,9,-6.698
PAB_024,PIK3CA,1,-7.448
PAB_024,PIK3CA,2,-6.959
PAB_024,PIK3CA,3,-6.511
PAB_024,PIK3CA,4,-6.388
PAB_024,PIK3CA,5,-6.306
PAB_024,PIK3CA,6,-6.195
PAB_024,PIK3CA,7,-6.155
PAB_024,PIK3CA,8,-6.06
PAB_024,PIK3CA,9,-5.901
PAB_024,PIK3CB,1,-8.406
PAB_024,PIK3CB,2,-8.168
PAB_024,PIK3CB,3,-8.088
PAB_024,PIK3CB,4,-7.284
PAB_024,PIK3CB,5,-7.152
PAB_024,PIK3CB,6,-7.052
PAB_024,PIK3CB,7,-6.941
PAB_024,PIK3CB,8,-6.921
PAB_024,PIK3CB,9,-6.738
PAB_025,PIK3CA,1,-8.619
PAB_025,PIK3CA,2,-8.398
PAB_025,PIK3CA,3,-7.549
PAB_025,PIK3CA,4,-7.17
PAB_025,PIK3CA,5,-7.051
PAB_025,PIK3CA,6,-6.237
PAB_025,PIK3CA,7,-5.823
PAB_025,PIK3CB,1,-9.105
PAB_025,PIK3CB,2,-8.959
PAB_025,PIK3CB,3,-8.92
PAB_025,PIK3CB,4,-8.659
PAB_025,PIK3CB,5,-8.327
PAB_025,PIK3CB,6,-7.91
PAB_025,PIK3CB,7,-7.853
PAB_025,PIK3CB,8,-7.804
PAB_025,PIK3CB,9,-7.549
PAB_026,PIK3CA,1,-8.453
PAB_026,PIK3CA,2,-8.407
PAB_026,PIK3CA,3,-8.168
PAB_026,PIK3CA,4,-8.067
PAB_026,PIK3CA,5,-7.786
PAB_026,PIK3CA,6,-7.555
PAB_026,PIK3CA,7,-7.35
PAB_026,PIK3CA,8,-7.175
PAB_026,PIK3CA,9,-7.079
PAB_026,PIK3CB,1,-8.907
PAB_026,PIK3CB,2,-8.339
PAB_026,PIK3CB,3,-8.288
PAB_026,PIK3CB,4,-8.224
