pair,seed,ligand,class,pdb,status,vina_mode1
EGFR/HER2,20260811,EH120_094,B_only,3POZ,ok,-8.558
EGFR/HER2,20260811,EH120_094,B_only,3RCD,ok,-8.55
EGFR/HER2,20260811,EH120_095,B_only,3POZ,ok,-10.241
EGFR/HER2,20260811,EH120_095,B_only,3RCD,ok,-10.527
EGFR/HER2,20260811,EH120_096,B_only,3POZ,ok,-10.493
EGFR/HER2,20260811,EH120_096,B_only,3RCD,ok,-10.791
EGFR/HER2,20260811,EH120_097,B_only,3POZ,ok,-9.915
EGFR/HER2,20260811,EH120_097,B_only,3RCD,ok,-10.453
EGFR/HER2,20260811,EH120_098,B_only,3POZ,ok,-10.372
EGFR/HER2,20260811,EH120_098,B_only,3RCD,ok,-10.694
EGFR/HER2,20260811,EH120_099,B_only,3POZ,ok,-10.31
EGFR/HER2,20260811,EH120_099,B_only,3RCD,ok,-9.98
EGFR/HER2,20260811,EH120_100,B_only,3POZ,ok,-10.436
EGFR/HER2,20260811,EH120_100,B_only,3RCD,ok,-10.998
EGFR/HER2,20260811,EH120_101,B_only,3POZ,ok,-10.701
EGFR/HER2,20260811,EH120_101,B_only,3RCD,ok,-10.652
EGFR/HER2,20260811,EH120_102,neither,3POZ,ok,-6.41
EGFR/HER2,20260811,EH120_102,neither,3RCD,ok,-6.893
EGFR/HER2,20260811,EH120_103,neither,3POZ,ok,-8.734
EGFR/HER2,20260811,EH120_103,neither,3RCD,ok,-9.239
EGFR/HER2,20260811,EH120_104,neither,3POZ,ok,-10.221
EGFR/HER2,20260811,EH120_104,neither,3RCD,ok,-11.184
EGFR/HER2,20260811,EH120_105,neither,3POZ,ok,-9.148
EGFR/HER2,20260811,EH120_105,neither,3RCD,ok,-9.228
EGFR/HER2,20260811,EH120_106,neither,3POZ,ok,-9.004
EGFR/HER2,20260811,EH120_106,neither,3RCD,ok,-9.567
EGFR/HER2,20260811,EH120_107,neither,3POZ,ok,-8.039
EGFR/HER2,20260811,EH120_107,neither,3RCD,ok,-8.116
EGFR/HER2,20260811,EH120_108,neither,3POZ,ok,-8.186
EGFR/HER2,20260811,EH120_108,neither,3RCD,ok,-7.753
EGFR/HER2,20260811,EH120_109,neither,3POZ,ok,-4.445
