pair,bindingdb_monomerid,inchikey,frozen_class_theta6_mixed,pA_mixed,pB_mixed,in_scored_panel_structure,in_chembl_map_structure,panel_pmid_overlap,unichem_status,n_pmids,independent_structure_and_literature,affinity_types
PIK3CA/mTOR,127494,QRJAMQLBQFQSCP-HNNXBMFYSA-N,dual,8.7352,8.7122,0,0,0,unichem_skipped_bulk,0,0,KI
PIK3CA/mTOR,127495,AVPPVPMWQXGOOV-UHFFFAOYSA-N,dual,8.7122,8.466,0,0,0,unichem_skipped_bulk,0,0,KI
PIK3CA/mTOR,127496,AMXYSLJPYNAHGL-UHFFFAOYSA-N,dual,8.1129,7.8239,0,0,0,unichem_skipped_bulk,0,0,KI
PIK3CA/mTOR,127497,HLENCPWDVNHNST-HNNXBMFYSA-N,dual,8.6968,8.0701,0,0,0,unichem_skipped_bulk,0,0,KI
PIK3CA/mTOR,127498,LNYJFNGCMKEZBH-UHFFFAOYSA-N,dual,8.6536,8.0,0,0,0,unichem_skipped_bulk,0,0,KI
PIK3CA/mTOR,127499,VSQITRQCJYCJJW-UHFFFAOYSA-N,dual,8.5171,8.0,0,0,0,unichem_skipped_bulk,0,0,KI
PIK3CA/mTOR,12915,CZQHHVNHHHRRDU-UHFFFAOYSA-N,A_only,6.699,5.9747,0,0,0,unichem_skipped_bulk,36,0,IC50;KI
PIK3CA/mTOR,150989,LHDDJVLSHMJNRL-UHFFFAOYSA-N,B_only,5.9751,7.3979,0,0,0,unichem_skipped_bulk,0,0,IC50
PIK3CA/mTOR,150990,YLOCTAWZZXJSJN-KBPBESRZSA-N,B_only,5.1851,6.2924,0,0,0,unichem_skipped_bulk,0,0,IC50
PIK3CA/mTOR,150991,CWQWCVCZQYDZSG-ZDUSSCGKSA-N,neither,5.7447,5.8465,0,0,0,unichem_skipped_bulk,0,0,IC50
