id,rtmscore,target,ligand,vina_mode,vina_score
EH40_36_mode1-315,20.058741747085776,3POZ,EH40_36,1,-9.955
EH40_36_mode2-316,36.36204324362042,3POZ,EH40_36,2,-9.891
EH40_36_mode3-317,24.12733051622734,3POZ,EH40_36,3,-9.561
EH40_36_mode4-318,22.37224610444823,3POZ,EH40_36,4,-9.509
EH40_36_mode5-319,27.50522585621033,3POZ,EH40_36,5,-9.49
EH40_36_mode6-320,29.273572697079207,3POZ,EH40_36,6,-9.321
EH40_36_mode7-321,27.47645038604682,3POZ,EH40_36,7,-9.143
EH40_36_mode8-322,38.73414663889447,3POZ,EH40_36,8,-9.004
EH40_36_mode9-323,45.53059867118508,3POZ,EH40_36,9,-8.975
EH40_37_mode1-324,49.29231171229335,3POZ,EH40_37,1,-10.59
EH40_37_mode2-325,21.763869603820734,3POZ,EH40_37,2,-10.185
EH40_37_mode3-326,19.15166271487357,3POZ,EH40_37,3,-9.862
EH40_37_mode4-327,33.81541243573209,3POZ,EH40_37,4,-9.813
EH40_37_mode5-328,18.392586957902573,3POZ,EH40_37,5,-9.414
EH40_37_mode6-329,21.713914487168815,3POZ,EH40_37,6,-9.38
EH40_37_mode7-330,15.542792890730354,3POZ,EH40_37,7,-9.153
EH40_37_mode8-331,22.733393104307893,3POZ,EH40_37,8,-8.934
EH40_37_mode9-332,11.173408893373372,3POZ,EH40_37,9,-8.918
EH40_38_mode1-333,9.139051486658078,3POZ,EH40_38,1,-9.905
EH40_38_mode2-334,7.925721242485171,3POZ,EH40_38,2,-9.827
EH40_38_mode3-335,5.251216238000551,3POZ,EH40_38,3,-9.456
EH40_38_mode4-336,34.374363828470344,3POZ,EH40_38,4,-8.94
EH40_38_mode5-337,34.82689925210737,3POZ,EH40_38,5,-8.901
EH40_38_mode6-338,21.21831118447808,3POZ,EH40_38,6,-8.828
EH40_38_mode7-339,8.20579058672445,3POZ,EH40_38,7,-8.757
EH40_38_mode8-340,9.604496405789424,3POZ,EH40_38,8,-8.742
EH40_38_mode9-341,30.368467147584145,3POZ,EH40_38,9,-8.706
EH40_39_mode1-342,23.694204224074056,3POZ,EH40_39,1,-10.373
EH40_39_mode2-343,24.06547574262771,3POZ,EH40_39,2,-10.282
EH40_39_mode3-344,34.825166674855694,3POZ,EH40_39,3,-10.166
EH40_39_mode4-345,26.580280949039285,3POZ,EH40_39,4,-10.163
EH40_39_mode5-346,23.08043364453506,3POZ,EH40_39,5,-9.851
EH40_39_mode6-347,34.23769608049097,3POZ,EH40_39,6,-9.793
EH40_39_mode7-348,44.2202662468225,3POZ,EH40_39,7,-9.761
EH40_39_mode8-349,26.91113593330936,3POZ,EH40_39,8,-9.738
EH40_39_mode9-350,33.55740647174999,3POZ,EH40_39,9,-8.512
EH40_40_mode1-351,13.279153209784104,3POZ,EH40_40,1,-8.367
EH40_40_mode2-352,15.958823965671186,3POZ,EH40_40,2,-7.846
EH40_40_mode3-353,10.001158158132723,3POZ,EH40_40,3,-7.813
EH40_40_mode4-354,48.183188761122906,3POZ,EH40_40,4,-7.682
EH40_40_mode5-355,27.92368895558712,3POZ,EH40_40,5,-7.669
EH40_40_mode6-356,12.838069326636036,3POZ,EH40_40,6,-7.636
EH40_40_mode7-357,13.243314487230917,3POZ,EH40_40,7,-7.569
EH40_40_mode8-358,23.225417992622152,3POZ,EH40_40,8,-7.511
EH40_40_mode9-359,38.21706033944468,3POZ,EH40_40,9,-7.334
EH40_01_mode1-0,111.45754860245924,3RCD,EH40_01,1,-9.745
EH40_01_mode2-1,65.73351339353026,3RCD,EH40_01,2,-9.592
EH40_01_mode3-2,114.0350825083402,3RCD,EH40_01,3,-9.451
EH40_01_mode4-3,43.21265375153408,3RCD,EH40_01,4,-9.388
