ligand_id,smiles,fragment_status,embed_status,mmff_status,meeko_status,pdbqt_status,n_frags,reason
EH120_069,CN(C)C/C=C/C(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_070,CC(NC(=O)/C(C#N)=C/c1ccc(O)c(O)c1)c1ccccc1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_071,C=CC(=O)N[C@H]1CC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)CC1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_072,Nc1ccc(-c2cc3c(Nc4ccc(Oc5cccc(C(F)(F)F)c5)c(Cl)c4)ncnc3s2)cc1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_073,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCN(C)CC2)CCO4)c1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_074,Fc1cccc(COc2ccc(Nc3ccncn3)cc2Cl)c1,single,etkdgv3_ok,ok,ok,ok,1,
EH120_075,CCOC(=O)c1cn2ncnc(Nc3ccc4[nH]ncc4c3)c2c1CC,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_076,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)Nc1ccccc1,single,etkdgv3_ok,ok,ok,ok,1,
EH120_077,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,single,etkdgv3_ok,ok,ok,ok,1,
EH120_078,COc1cc2ncc(C#N)c(Nc3ccc(NCc4cccnc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_079,CCOC(=O)c1cn2ncnc(Nc3cccc(Br)c3)c2c1CC,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_080,Cc1c(C(=O)NCCN2CCOCC2)[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_081,COc1ccc2ncnc(Nc3ccc(Oc4cc5ncnn5cn4)c(C)c3)c2c1O[C@@H]1CCN(C)CC1(F)F,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_082,Cc1ccc(Oc2ccc(Nc3ncnc4cccc(O[C@H](C)C(=O)N(C)CCO)c34)cc2C)cn1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_083,COc1cc(OC2CCN(C)CC2(F)F)c2c(Nc3ccc(Oc4ccn5ncnc5c4)c(C)c3)ncnc2c1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_084,C=CC(=O)N1CCN(c2ncc3ncnc(Nc4ccc(Oc5ccn6ncnc6c5)c(C)c4)c3n2)CC1,single,etkdgv3_ok,not_converged,ok,ok,1,
