pair,ligand_id,molecule_chembl_id,activity_source_kind,activity_source_file,activity_status,activity_eligible,analysis_set,complete_case,construction_class,primary_class_theta6,recomputed_theta6,class_match,pA,pB,historical_pA,historical_pB,n_act_A,n_act_B,in_primary
EGFR/HER2,EH40_17,CHEMBL91925,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,7.14,5.93,7.14,5.93,1,1,1
EGFR/HER2,EH40_18,CHEMBL2000832,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,6.3,5.9,6.3,5.9,1,1,1
EGFR/HER2,EH40_19,CHEMBL589560,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,6.17,5.85,6.17,5.85,1,1,1
EGFR/HER2,EH40_20,CHEMBL3357639,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,9.59,5.8,9.59,5.8,2,1,1
EGFR/HER2,EH40_21,CHEMBL2112370,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,6.88,5.72,6.88,5.72,1,1,1
EGFR/HER2,EH40_22,CHEMBL1081849,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,6.01,5.65,6.01,5.65,1,1,1
EGFR/HER2,EH40_23,CHEMBL3633938,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,6.35,5.57,6.35,5.57,1,1,1
EGFR/HER2,EH40_24,CHEMBL602328,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,6.01,5.45,6.01,5.45,1,1,1
EGFR/HER2,EH40_25,CHEMBL289959,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,7.1,5.3,7.1,5.3,2,1,1
EGFR/HER2,EH40_26,CHEMBL371863,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,6.7,5.14,6.7,5.14,1,1,1
EGFR/HER2,EH40_27,CHEMBL428690,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,A_only,A_only,A_only,1,6.28,4.8,6.28,4.8,15,1,1
EGFR/HER2,EH40_28,CHEMBL6017443,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,5.99,7.79,5.99,7.79,1,1,1
EGFR/HER2,EH40_29,CHEMBL1080990,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,5.92,6.03,5.92,6.03,1,1,1
EGFR/HER2,EH40_30,CHEMBL565612,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,5.9,6.1,5.9,6.1,1,1,1
EGFR/HER2,EH40_31,CHEMBL257873,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,0,B_only,B_only,B_only,1,5.84,8.3,5.84,8.3,1,1,0
EGFR/HER2,EH40_32,CHEMBL394463,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,5.75,6.6,5.75,6.6,1,1,1
EGFR/HER2,EH40_33,CHEMBL3814021,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,5.69,7.72,5.69,7.72,2,1,1
EGFR/HER2,EH40_34,CHEMBL2048792,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,5.64,6.89,5.64,6.89,1,1,1
EGFR/HER2,EH40_35,CHEMBL449949,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,5.58,6.35,5.58,6.35,1,1,1
EGFR/HER2,EH40_36,CHEMBL5901840,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,5.51,7.97,5.51,7.97,1,1,1
EGFR/HER2,EH40_37,CHEMBL5542514,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,5.34,7.08,5.34,7.08,1,1,1
EGFR/HER2,EH40_38,CHEMBL2005631,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,neither,neither,neither,1,5.8,5.9,5.8,5.9,1,1,1
