smiles,mol_id,pred_pAct_JNK1,pred_pAct_JNK2,pred_pAct_JNK3,p_family,pred_delta_min_computed,sa,qed,final_score
CNC(=O)C1Cc2nc(-c3ccc4c(c3)OCO4)n(-c3ccnc(N[C@@H]4CCN(C(=O)C5CC5)C4)n3)c2C1,,7.0125046,7.5027432,6.8905096,7.5027432,-0.49023867,3.8297286132818815,0.5106987800940721,0.6816809169799593
CN(C)c1ccc(C(=O)NCc2cn(-c3ccccc3)c3cc(Cl)ccc3c2=O)cn1,,7.1693277,6.4749722,5.7317376,7.1693277,0.6943555,2.4073068504555444,0.5166074244773772,0.6811013579039816
CCOC(=O)C1Cc2nc(-c3ccc4ccccc4c3)n(-c3ccnc(N[C@H]4CCN(C(=O)C5CC5)C4)n3)c2C1,,7.1339507,7.370421,8.005833,8.005833,-0.87188196,3.7011085969925634,0.3536190653120268,0.6810427847134819
CCOC(=O)C1Cc2nc(-c3ccc4ccccc4c3)n(-c3ccnc(N[C@@H]4CCN(C(=O)C5CC5)C4)n3)c2C1,,7.1339507,7.370421,8.005833,8.005833,-0.87188196,3.7011085969925634,0.3536190653120268,0.6810427847134819
C=Cc1c(N)cc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)nc1OCC,,6.1471405,6.5618095,5.479167,6.5618095,-0.41466904,2.532332198022708,0.7659191303458782,0.6809671363216147
CCOc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1/C=C/C#N,,6.570676,6.795685,5.738674,6.795685,-0.22500896,2.739153998209117,0.6779066398392714,0.6805125905294033
CC(O)CNc1nccc(-n2c(CC#N)cnc2-c2ccc(Cl)c(Cl)c2)n1,,6.8864136,6.90098,6.2826796,6.90098,-0.0145664215,3.3325361177776234,0.6537376106323035,0.6802722643269804
CCOc1nc(NC(=O)Cc2ccccc2)cc(N)c1C#N,,5.630553,6.221081,5.52323,6.221081,-0.590528,2.2276968063182707,0.8796326854095875,0.6802673034509553
C#Cc1c(N)cc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)nc1OCC,,6.402605,6.5715117,5.7888465,6.5715117,-0.16890669,2.5302279726705947,0.7401015531677431,0.6801902527581914
CNC(=O)c1ccccc1Nc1cc(Oc2ccc(OC)cc2)ncc1Cl,,6.4452357,6.190465,6.808674,6.808674,-0.36343813,2.1390022855143442,0.6483912046638963,0.6794438162412405
CCNC(=O)N1CCC(Nc2nccc(-n3ccc4ccccc43)n2)CC1,,6.4844656,6.4993887,6.074028,6.4993887,-0.014923096,2.453086818702676,0.7461636782926213,0.6794352296693735
CCOC(=O)c1c(-c2ccc(OC)cc2)n[nH]c1N,,6.243256,5.625911,4.405466,6.243256,0.61734486,2.153358377486782,0.8194745410003935,0.6793892508702182
