repurposing_id,name,chembl_id,canonical_smiles,mw,rot_bonds,tpsa,max_phase,ligand_prep_status,si_reason
REP_04090,DIATHYMOSULFONE,CHEMBL2106611,Cc1cc(O)c(C(C)C)cc1/N=N/c1ccc(S(=O)(=O)c2ccc(/N=N/c3cc(C(C)C)c(O)cc3C)cc2)cc1,570.72,8,124.04,2.0,prepared,not_in_dual_success_merge+mw_gt_550+dock_logs_unavailable
REP_06026,FOZIVUDINE TIDOXIL,CHEMBL3989603,CCCCCCCCCCCCSCC(COP(=O)(O)OC[C@H]1O[C@@H](n2cc(C)c(=O)[nH]c2=O)C[C@@H]1N=[N+]=[N-])OCCCCCCCCCC,745.96,31,177.83999999999997,2.0,embed_fail,ligand_prep_fail:embed_fail
REP_06106,RUTAMYCIN,CHEMBL3989875,CC[C@H]1/C=C/C=C/C[C@@H](C)[C@H](O)[C@@](C)(O)C(=O)[C@@H](C)[C@H](O)[C@@H](C)C(=O)[C@@H](C)[C@H](O)[C@@H](C)/C=C/C(=O)O[C@H]2C[C@@]3(CC[C@H](C)[C@H](C[C@@H](C)O)O3)O[C@@H](CC1)[C@H]2C,777.05,3,180.04999999999998,2.0,prepared,not_in_dual_success_merge+mw_gt_550+dock_logs_unavailable
REP_02883,NARASIN,CHEMBL2104423,CC[C@@H](C(=O)O)[C@@H]1O[C@@H]([C@@H](C)[C@H](O)[C@H](C)C(=O)[C@H](CC)[C@H]2O[C@]3(C=C[C@@H](O)[C@]4(CC[C@@](C)([C@H]5CC[C@](O)(CC)[C@H](C)O5)O4)O3)[C@H](C)C[C@@H]2C)[C@@H](C)C[C@@H]1C,765.04,12,161.20999999999998,2.0,prepared,not_in_dual_success_merge+mw_gt_550+rotb_gt_10+dock_logs_unavailable
REP_05417,BATEFENTEROL,CHEMBL3039518,COc1cc(NC(=O)CCN2CCC(OC(=O)Nc3ccccc3-c3ccccc3)CC2)c(Cl)cc1CNC[C@H](O)c1ccc(O)c2[nH]c(=O)ccc12,740.26,13,165.25,2.0,prepared,not_in_dual_success_merge+mw_gt_550+rotb_gt_10+dock_logs_unavailable
REP_07013,PLOGOSERTIB,CHEMBL5314436,COc1cc(C(=O)N[C@H]2CC[C@H](N3CCN(C)CC3)CC2)ccc1Nc1ncc2c(n1)N(C1CCCC1)CC1(CC1)C(=O)N2C,616.81,7,106.17,2.0,prepared,not_in_dual_success_merge+mw_gt_550+dock_logs_unavailable
REP_07733,OCHROMYCINONE,CHEMBL256705,C[C@@H]1CC(=O)c2c(ccc3c2C(=O)c2cccc(O)c2C3=O)C1,306.32,0,71.44,1.0,prepared,not_in_dual_success_merge+dock_logs_unavailable
REP_06185,ALRIZOMADLIN,CHEMBL4091801,CCN1[C@@H](C(=O)NC23CCC(C(=O)O)(CC2)CC3)[C@H](c2cccc(Cl)c2F)[C@]2(C(=O)Nc3cc(Cl)ccc32)C12CCCCC2,642.6,5,98.74000000000001,2.0,prepared,not_in_dual_success_merge+mw_gt_550+dock_logs_unavailable
REP_05392,ALEMCINAL,CHEMBL300049,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)C[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)CC)[C@H]2O)[C@@]2(C)CC(C)=C(O2)[C@H](C)[C@@H](O)[C@H]1C,697.95,8,125.38000000000002,2.0,prepared,not_in_dual_success_merge+mw_gt_550+dock_logs_unavailable
REP_02131,REBASTINIB,CHEMBL1738757,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc4ncccc4c3)c(F)c2)ccn1,553.6,6,123.06,2.0,prepared,not_in_dual_success_merge+mw_gt_550+dock_logs_unavailable
